Reference, Value, Footprint, Datasheet, Part Number
"P3","Digital1","Pin_Headers:Pin_Header_Straight_1x08","","",""
"P4","Digital2","Pin_Headers:Pin_Header_Straight_1x10","","",""
"P1","AnalogIn","Pin_Headers:Pin_Header_Straight_1x06","","",""
"P2","Power","Pin_Headers:Pin_Header_Straight_1x08","","",""
"P5","BNC","rzfp:bnc","",",300-61-816",""
"P7","BNC","rzfp:bnc","",",300-61-816",""
"P6","BNC","rzfp:bnc","",",300-61-816",""
"P8","BNC","rzfp:bnc","",",300-61-816",""
"D1","LED","LEDs:LED-3MM","",",175-01-529",""
"R1","330","Resistors_SMD:R_2512_HandSoldering","",",160-20-762",""
"U3","MCP9700T-E/TT","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval","","",""
"U1","LM324","Housings_DIP:DIP-14_W7.62mm_LongPads","",",173-27-518",""
"D2","LED","LEDs:LED-3MM","",",175-01-529",""
"R2","330","Resistors_SMD:R_2512_HandSoldering","",",160-20-762",""
"D3","LED","LEDs:LED-3MM","",",175-01-529",""
"R3","330","Resistors_SMD:R_2512_HandSoldering","",",160-20-762",""
"U2","LM324","Housings_DIP:DIP-14_W7.62mm_LongPads","",",173-27-518",""
"P9","DAC2ADC0","Pin_Headers:Pin_Header_Straight_1x02","","",""
"P11","ADC-DO","Pin_Headers:Pin_Header_Straight_1x03","","",""
"P12","ADC-DO","Pin_Headers:Pin_Header_Straight_1x03","","",""
"P13","ADC-DO","Pin_Headers:Pin_Header_Straight_1x03","","",""
"P14","ADC-DO","Pin_Headers:Pin_Header_Straight_1x03","","",""
"P15","DO","Pin_Headers:Pin_Header_Straight_1x05","","",""
"D4","photodiode","Diodes_ThroughHole:Diode_DO-41_SOD81_Vertical_AnodeUp","",",175-00-028",""
"R4","47k","Resistors_SMD:R_2512_HandSoldering","",",160-21-026",""
"C3","12n","Capacitors_SMD:C_2220_HandSoldering","",",300-10-943",""
"R12","10k","Resistors_SMD:R_2512_HandSoldering","",",160-20-945",""
"R11","10k","Resistors_SMD:R_2512_HandSoldering","",",160-20-945",""
"R10","100k","Resistors_SMD:R_2512_HandSoldering","",",160-21-067",""
"R9","100k","Resistors_SMD:R_2512_HandSoldering","",",160-21-067",""
"C4","12n","Capacitors_SMD:C_2220_HandSoldering","",",300-10-943",""
"P16","3V3 ADC REF","Pin_Headers:Pin_Header_Straight_1x02","","",""
