"el_idx"	"x"	"y"
0	191.7	117.711
1	207.9	107.917
2	224.1	117.711
3	240.3	107.917
4	256.5	117.711
5	272.7	107.917
6	288.9	117.711
7	305.1	107.917
8	321.3	98.123
9	337.5	107.917
10	353.7	98.123
11	369.9	107.917
12	386.1	98.123
13	402.3	107.917
14	418.5	98.123
15	434.7	107.917
16	450.9	98.123
17	483.3	117.711
18	499.5	107.917
19	515.7	117.711
20	531.9	107.917
21	548.1	117.711
22	564.3	107.917
23	580.5	117.711
24	596.7	107.917
25	612.9	98.123
26	629.1	107.917
27	645.3	98.123
28	661.5	107.917
29	677.7	98.123
30	693.9	107.917
31	710.1	98.123
32	726.3	107.917
33	742.5	98.123
34	774.9	117.711
35	791.1	107.917
36	807.3	117.711
37	823.5	107.917
38	839.7	117.711
39	855.9	107.917
40	872.1	117.711
41	888.3	107.917
42	904.5	98.123
43	920.7	107.917
44	936.9	98.123
45	953.1	107.917
46	969.3	98.123
47	985.5	107.917
48	1001.7	98.123
49	1017.9	107.917
50	1034.1	98.123
51	1066.5	117.711
52	1082.7	107.917
53	1098.9	117.711
54	1115.1	107.917
55	1131.3	117.711
56	1147.5	107.917
57	1163.7	117.711
58	1179.9	107.917
59	1196.1	98.123
60	1212.3	107.917
61	1228.5	98.123
62	1244.7	107.917
63	1260.9	98.123
64	1277.1	107.917
65	1293.3	98.123
66	1309.5	107.917
67	1325.7	98.123
68	1358.1	117.711
69	1374.3	107.917
70	1390.5	117.711
71	1406.7	107.917
72	1422.9	117.711
73	1439.1	107.917
74	1455.3	117.711
75	1471.5	107.917
76	1487.7	98.123
77	1503.9	107.917
78	1520.1	98.123
79	1536.3	107.917
80	1552.5	98.123
81	1568.7	107.917
82	1584.9	98.123
83	1601.1	107.917
84	1617.3	98.123
85	1649.7	117.711
86	1665.9	107.917
87	1682.1	117.711
88	1698.3	107.917
89	1714.5	117.711
90	1730.7	107.917
91	1746.9	117.711
92	1763.1	107.917
93	1779.3	98.123
94	1795.5	107.917
95	1811.7	98.123
96	1827.9	107.917
97	1844.1	98.123
98	1860.3	107.917
99	1876.5	98.123
100	1892.7	107.917
101	1908.9	98.123
102	175.5	107.917
103	207.9	127.505
104	224.1	137.299
105	240.3	127.505
106	256.5	137.299
107	272.7	127.505
108	288.9	137.299
109	305.1	127.505
110	321.3	117.711
111	337.5	127.505
112	353.7	117.711
113	369.9	127.505
114	386.1	117.711
115	402.3	127.505
116	418.5	117.711
117	434.7	127.505
118	450.9	117.711
119	467.1	107.917
120	499.5	127.505
121	515.7	137.299
122	531.9	127.505
123	548.1	137.299
124	564.3	127.505
125	580.5	137.299
126	596.7	127.505
127	612.9	117.711
128	629.1	127.505
129	645.3	117.711
130	661.5	127.505
131	677.7	117.711
132	693.9	127.505
133	710.1	117.711
134	726.3	127.505
135	742.5	117.711
136	758.7	107.917
137	791.1	127.505
138	807.3	137.299
139	823.5	127.505
140	839.7	137.299
141	855.9	127.505
142	872.1	137.299
143	888.3	127.505
144	904.5	117.711
145	920.7	127.505
146	936.9	117.711
147	953.1	127.505
148	969.3	117.711
149	985.5	127.505
150	1001.7	117.711
151	1017.9	127.505
152	1034.1	117.711
153	1050.3	107.917
154	1082.7	127.505
155	1098.9	137.299
156	1115.1	127.505
157	1131.3	137.299
158	1147.5	127.505
159	1163.7	137.299
160	1179.9	127.505
161	1196.1	117.711
162	1212.3	127.505
163	1228.5	117.711
164	1244.7	127.505
165	1260.9	117.711
166	1277.1	127.505
167	1293.3	117.711
168	1309.5	127.505
169	1325.7	117.711
170	1341.9	107.917
171	1374.3	127.505
172	1390.5	137.299
173	1406.7	127.505
174	1422.9	137.299
175	1439.1	127.505
176	1455.3	137.299
177	1471.5	127.505
178	1487.7	117.711
179	1503.9	127.505
180	1520.1	117.711
181	1536.3	127.505
182	1552.5	117.711
183	1568.7	127.505
184	1584.9	117.711
185	1601.1	127.505
186	1617.3	117.711
187	1633.5	107.917
188	1665.9	127.505
189	1682.1	137.299
190	1698.3	127.505
191	1714.5	137.299
192	1730.7	127.505
193	1746.9	137.299
194	1763.1	127.505
195	1779.3	117.711
196	1795.5	127.505
197	1811.7	117.711
198	1827.9	127.505
199	1844.1	117.711
200	1860.3	127.505
201	1876.5	117.711
202	1892.7	127.505
203	1908.9	117.711
204	175.5	127.505
205	191.7	137.299
206	224.1	156.887
207	240.3	147.093
208	256.5	156.887
209	272.7	147.093
210	288.9	156.887
211	305.1	147.093
212	321.3	137.299
213	337.5	147.093
214	353.7	137.299
215	369.9	147.093
216	386.1	137.299
217	402.3	147.093
218	418.5	137.299
219	434.7	147.093
